minorityvote = 133/4/47/8 A-57-PV.77 pg028-bk02 2002-12-18 Draft resolution XXI was adopted by 133 votes to 4, with 47 abstentions ( resolution 57/223 ).
minorityvote = 88/5/70/22 A-49-PV.94 pg018-bk06 1994-12-23 Draft resolution IV was adopted by 88 votes to 5, with 70 abstentions ( resolution 49/182 ).
minorityvote = 126/5/30/30 A-58-PV.79 pg008-bk05 2003-12-23 Draft resolution VII was adopted by 126 votes to 5, with 30 abstentions ( resolution 58/244 ).
minorityvote = 95/5/46/46 A-61-PV.84 pg025-bk04 2006-12-22 The fourth preambular paragraph and operative paragraphs 4, 5 and 21 were retained by 95 votes to 5, with 46 abstentions. 
minorityvote = 82/5/50/55 A-61-PV.92 pg003-bk04 2007-04-02 The fourth preambular paragraph and operative paragraphs 4, 5 and 20 were retained by 82 votes to 5, with 50 abstentions. 
minorityvote = 128/6/41/16 A-58-PV.71 pg016-bk04 2003-12-08 The twentieth preambular paragraph of draft resolution XVI was retained by 128 votes to 6, with 41 abstentions.
minorityvote = 156/6/9/20 A-60-PV.60 pg004-bk02 2005-12-01 Draft resolution  A/60/L.31  was adopted by 156 votes to 6, with 9 abstentions ( resolution 60/39 ).
minorityvote = 110/6/61/14 A-60-PV.64 pg016-bk02 2005-12-16 Draft resolution XV was adopted by 110 votes to 6, with 61 abstentions ( resolution 60/164 ).
minorityvote = 156/6/8/21 A-60-PV.68 pg004-bk08 2005-12-22 The draft resolution was adopted by 156 votes to 6, with 8 abstentions ( resolution 60/183 ).
minorityvote = 99/6/49/38 A-60-PV.92 pg011-bk03 2006-06-30 The fourth preambular paragraph and operative paragraphs 4, 5 and 17 were retained by 99 votes to 6, with 49 abstentions.
ambassador = A-61-PV.8 pg054-bk02 2006-09-18 Mr. Hill
ambassador = A-61-PV.24 pg024-bk01 2006-10-02 Mr. Hill
ambassador = S-PV-5556 pg020-bk02 2006-10-26 Mr. Hill
ambassador = A-61-PV.50 pg017-bk02 2006-11-08 Mr. Hill
ambassador = A-61-PV.50 pg019-bk03 2006-11-08 Mr. Hill
ambassador = A-61-PV.58 pg017-bk01 2006-11-28 Mr. Hill
ambassador = S-PV-5573-Resu.1 pg014-bk02 2006-11-28 Mr. Hill
ambassador = S-PV-5628 pg025-bk01 2007-02-12 Mr. Hill
ambassador = S-PV-5632-Resu.1 pg016-bk02 2007-02-20 Mr. Hill
ambassador = S-PV-5635-Resu.1 pg003-bk04 2007-02-23 Mr. Hill
ambassador = A-61-PV.88 pg007-bk05 2007-03-15 Mr. Hill
ambassador = S-PV-5649-Resu.1 pg008-bk02 2007-03-28 Mr. Hill
ambassador = S-PV-5663-Resu.1 pg005-bk02 2007-04-17 Mr. Hill
ambassador = S-PV-5679 pg025-bk01 2007-05-22 Mr. Hill
ambassador = A-55-PV.73 pg007-bk01 2000-11-28 Mr. Hollis
ambassador = A-55-PV.3 pg035-bk02 2000-09-06 Mr. Howard
ambassador = A-55-PV.3 pg036-bk02 2000-09-06 Mr. Howard
ambassador = A-60-PV.7 pg019-bk02 2005-09-16 Mr. Howard
ambassador = A-50-PV.80 pg009-bk01 1995-12-05 Mr. Jull
ambassador = A-54-PV.62 pg023-bk06 1999-11-24 Mr. Kowalski
ambassador = A-54-PV.47 pg005-bk02 1999-11-04 Mr. Luck
ambassador = A-55-PV.44 pg017-bk01 2000-10-30 Mr. Luck
ambassador = A-50-PV.70 pg023-bk01 1995-11-27 Mr. March
ambassador = A-51-PV.87 pg013-bk03 1996-12-17 Mr. March
ambassador = A-57-PV.31 pg013-bk01 2002-10-16 Mr. O'Brien
ambassador = A-60-PV.46 pg024-bk06 2005-11-08 Mr. Playle
ambassador = A-60-PV.61 pg004-bk01 2005-12-08 Mr. Playle
ambassador = A-54-PV.25 pg012-bk01 1999-10-06 Mr. Prosser
ambassador = A-54-PV.41 pg025-bk01 1999-10-27 Mr. Ray
ambassador = A-60-PV.54 pg024-bk01 2005-11-28 Mr. Ray
ambassador = A-51-PV.34 pg021-bk01 1996-10-15 Mr. Reid
ambassador = A-49-PV.38 pg017-bk04 1994-10-19 Mr. Rowe
ambassador = A-49-PV.42 pg012-bk01 1994-10-21 Mr. Rowe
ambassador = A-49-PV.60 pg004-bk03 1994-11-18 Mr. Rowe
ambassador = A-49-PV.67 pg015-bk01 1994-11-25 Mr. Rowe
ambassador = A-49-PV.78 pg009-bk01 1994-12-06 Mr. Rowe
ambassador = A-49-PV.89 pg004-bk04 1994-12-15 Mr. Rowe
ambassador = A-49-PV.91 pg015-bk01 1994-12-16 Mr. Rowe
ambassador = S-PV-3483 pg025-bk02 1994-12-16 Mr. Rowe
ambassador = A-49-PV.105 pg009-bk02 1995-07-12 Mr. Rowe
ambassador = A-50-PV.32 pg008-bk01 1995-10-17 Mr. Rowe
ambassador = A-50-PV.92 pg005-bk01 1995-12-14 Mr. Rowe
ambassador = S-PV-3611 pg021-bk02 1995-12-20 Mr. Rowe
ambassador = A-50-PV.100 pg013-bk01 1995-12-23 Mr. Rowe
ambassador = S-PV-3692 pg011-bk02 1996-08-28 Mr. Rowe
ambassador = A-51-PV.87 pg008-bk03 1996-12-17 Mr. Rowe
ambassador = A-59-PV.44 pg024-bk03 2004-10-28 Mr. Sawford
ambassador = A-59-PV.52 pg015-bk01 2004-11-11 Mr. Sawford
ambassador = A-57-PV.51 pg006-bk01 2002-11-15 Mr. Scott
ambassador = A-57-PV.51 pg007-bk02 2002-11-15 Mr. Scott
ambassador = A-57-PV.55 pg022-bk01 2002-11-21 Mr. Scott
ambassador = A-49-PV.106 pg010-bk04 1995-07-20 Mr. Sharp
ambassador = A-53-PV.54 pg003-bk01 1998-11-10 Mr. Smith
ambassador = A-53-PV.71 pg004-bk01 1998-11-25 Mr. Smith
ambassador = S-PV-4020-Resu.1 pg016-bk02 1999-07-08 Mr. Smith
ambassador = A-55-PV.41 pg023-bk02 2000-10-26 Mr. Smith
ambassador = A-55-PV.86 pg009-bk01 2000-12-19 Mr. Smith
ambassador = A-58-PV.37 pg024-bk01 2003-10-20 Mr. Snowdon
ambassador = A-60-PV.38 pg018-bk01 2005-10-26 Mr. Southcott
ambassador = A-60-PV.41 pg026-bk02 2005-10-31 Mr. Southcott
ambassador = A-60-PV.45 pg025-bk01 2005-11-08 Mr. Southcott
ambassador = A-60-PV.56 pg028-bk01 2005-11-29 Mr. Southcott
ambassador = A-60-PV.59 pg020-bk01 2005-11-30 Mr. Southcott
ambassador = A-60-PV.60 pg005-bk02 2005-12-01 Mr. Southcott
ambassador = A-49-PV.81 pg002-bk02 1994-12-08 Mr. Staples
ambassador = A-49-PV.34 pg002-bk01 1994-10-17 Mr. Starr
ambassador = A-57-PV.56 pg031-bk01 2002-11-21 Mr. Stephens
ambassador = A-54-PV.62 pg006-bk01 1999-11-24 Mr. Stuart
ambassador = A-54-PV.79 pg011-bk01 1999-12-15 Mr. Stuart
ambassador = A-54-PV.82 pg006-bk01 1999-12-16 Mr. Stuart
ambassador = S-PV-4165 pg028-bk02 2000-06-27 Mr. Stuart
ambassador = S-PV-4180 pg020-bk02 2000-07-28 Mr. Stuart
ambassador = A-55-PV.31 pg018-bk01 2000-09-28 Mr. Stuart
ambassador = A-55-PV.35 pg031-bk01 2000-10-17 Mr. Stuart
ambassador = A-55-PV.45 pg020-bk02 2000-10-31 Mr. Stuart
ambassador = A-55-PV.56 pg025-bk01 2000-11-09 Mr. Stuart
ambassador = A-55-PV.58 pg002-bk01 2000-11-10 Mr. Stuart
ambassador = A-55-PV.58 pg002-bk03 2000-11-10 Mr. Stuart
ambassador = A-55-PV.77 pg008-bk02 2000-11-30 Mr. Stuart
ambassador = S-PV-4257 pg015-bk02 2001-01-16 Mr. Stuart
ambassador = A-56-PV.66 pg013-bk01 2001-11-28 Mr. Stuart
ambassador = A-56-PV.86 pg012-bk02 2001-12-14 Mr. Stuart
ambassador = A-56-PV.95 pg002-bk03 2002-03-11 Mr. Stuart
ambassador = S-PV-4512-Resu.1 pg003-bk02 2002-04-15 Mr. Stuart
ambassador = A-56-PV.103 pg007-bk01 2002-06-18 Mr. Stuart
ambassador = A-57-PV.11 pg023-bk02 2002-09-16 Mr. Tesch
ambassador = S-PV-4623-Resu.1 pg009-bk02 2002-10-11 Mr. Tesch
ambassador = S-PV-4635-Resu.1 pg006-bk04 2002-10-29 Mr. Tesch
ambassador = A-57-PV.48 pg020-bk02 2002-11-12 Mr. Tesch
ambassador = A-57-PV.60 pg015-bk01 2002-11-26 Mr. Tesch
ambassador = A-57-PV.82 pg007-bk01 2003-04-11 Mr. Tesch
ambassador = A-58-PV.54 pg021-bk03 2003-11-04 Mr. Tesch
ambassador = A-58-PV.55 pg009-bk01 2003-11-04 Mr. Tesch
ambassador = S-PV-4970-Resu.1 pg023-bk02 2004-05-17 Mr. Tesch
ambassador = A-59-PV.78 pg012-bk01 2005-01-18 Mr. Tesch
ambassador = A-59-PV.96 pg014-bk04 2005-05-09 Mr. Tesch
ambassador = S-PV-5180 pg016-bk01 2005-05-16 Mr. Tesch
ambassador = A-59-PV.55 pg020-bk01 2004-11-16 Mr. Tierney
ambassador = A-59-PV.63 pg019-bk01 2004-11-30 Mr. Tierney
