minorityvote = 114/2/18/51 A-52-PV.49 pg020-bk02 1997-11-12 Operative paragraph 7 was retained by 114 votes to 2, with 18 abstentions.
minorityvote = 93/2/57/33 A-53-PV.85 pg018-bk04 1998-12-09 Operative paragraphs 4, 13, 15 and 17 of draft resolution II were retained by 93 votes to 2, with 57 abstentions.
minorityvote = 100/2/63/25 A-56-PV.88 pg021-bk02 2001-12-19 Draft resolution V was adopted by 100 votes to 2, with 63 abstentions ( resolution 56/174 ).
minorityvote = 114/3/47/21 A-49-PV.94 pg026-bk03 1994-12-23 Draft resolution VIII was adopted by 114 votes to 3, with 47 abstentions ( resolution 49/203 ).
minorityvote = 111/3/53/18 A-50-PV.99 pg014-bk03 1995-12-22 Draft resolution IV was adopted by 111 votes to 3, with 53 abstentions ( resolution 50/191 ).
minorityvote = 103/3/59/20 A-51-PV.82 pg022-bk02 1996-12-12 Draft resolution I was adopted by 103 votes to 3, with 59 abstentions ( resolution 51/106 ).
minorityvote = 99/3/60/23 A-52-PV.70 pg027-bk04 1997-12-12 Draft resolution V was adopted by 99 votes to 3, with 60 abstentions ( resolution 52/141 ).
minorityvote = 103/3/56/23 A-53-PV.85 pg019-bk02 1998-12-09 Draft resolution II, as a whole, was adopted by 103 votes to 3, with 56 abstentions ( resolution 53/157 ).
minorityvote = 100/3/53/32 A-54-PV.83 pg029-bk05 1999-12-17 Draft resolution III was adopted by 100 votes to 3, with 53 abstentions ( resolution 54/178 ).
minorityvote = 102/3/60/25 A-55-PV.81 pg022-bk08 2000-12-04 Draft resolution IV was adopted by 102 votes to 3, with 60 abstentions ( resolution 55/115 ).
ambassador = A-58-PV.80 pg002-bk03 2004-02-09 Mr. Erwa
ambassador = S-PV-5015 pg011-bk02 2004-07-30 Mr. Erwa
ambassador = S-PV-5040 pg013-bk01 2004-09-18 Mr. Erwa
ambassador = S-PV-5151 pg003-bk02 2005-03-24 Mr. Erwa
ambassador = S-PV-5153 pg006-bk02 2005-03-29 Mr. Erwa
ambassador = S-PV-5158 pg012-bk01 2005-03-31 Mr. Erwa
ambassador = A-50-PV.67 pg004-bk02 1995-11-20 Mr. Fad'Allah
ambassador = A-61-PV.8 pg012-bk02 2006-09-18 Mr. Fidail
ambassador = A-49-PV.43 pg022-bk01 1994-10-25 Mr. Idris
ambassador = S-PV-3454-Resu.2 pg002-bk03 1994-11-09 Mr. Idris
ambassador = A-53-PV.19 pg030-bk02 1998-09-29 Mr. Ismaiel
ambassador = A-54-PV.19 pg027-bk02 1999-09-30 Mr. Ismail
ambassador = S-PV-4049-Resu.2 pg015-bk02 1999-09-30 Mr. Ismail
ambassador = A-55-PV.23 pg022-bk02 2000-09-19 Mr. Ismail
ambassador = A-56-PV.42 pg014-bk01 2001-11-09 Mr. Ismail
ambassador = A-57-PV.14 pg003-bk02 2002-09-18 Mr. Ismail
ambassador = A-58-PV.4 pg015-bk02 2003-09-22 Mr. Ismail
ambassador = A-58-PV.4 pg016-bk02 2003-09-22 Mr. Ismail
ambassador = A-58-PV.16 pg022-bk02 2003-09-29 Mr. Ismail
ambassador = A-58-PV.16 pg023-bk02 2003-09-29 Mr. Ismail
ambassador = A-59-PV.8 pg040-bk02 2004-09-23 Mr. Ismail
ambassador = A-59-PV.44 pg007-bk01 2004-10-28 Mr. Ismail
ambassador = A-60-PV.8 pg031-bk02 2005-09-16 Mr. Ismail
ambassador = A-60-PV.20 pg021-bk01 2005-09-22 Mr. Ismail
ambassador = A-53-PV.37 pg013-bk01 1998-10-14 Mr. Khalil
ambassador = A-54-PV.15 pg036-bk02 1999-09-25 Mr. Khalil
ambassador = A-54-PV.24 pg019-bk02 1999-10-04 Mr. Khalil
ambassador = A-61-PV.52 pg017-bk01 2006-11-13 Mr. Mahjoub
ambassador = A-57-PV.71 pg005-bk01 2002-12-10 Mr. Maniang
ambassador = S-PV-4478-Resu.1 pg016-bk02 2002-02-27 Mr. Manis
ambassador = S-PV-4515 pg029-bk02 2002-04-18 Mr. Manis
ambassador = S-PV-4525 pg007-bk02 2002-05-03 Mr. Manis
ambassador = S-PV-4588 pg029-bk02 2002-07-24 Mr. Manis
ambassador = A-57-PV.22 pg003-bk03 2002-10-04 Mr. Manis
ambassador = A-57-PV.48 pg009-bk01 2002-11-12 Mr. Manis
ambassador = A-57-PV.63 pg010-bk01 2002-11-29 Mr. Manis
ambassador = A-57-PV.65 pg007-bk01 2002-12-02 Mr. Manis
ambassador = S-PV-4709 pg032-bk02 2003-02-18 Mr. Manis
ambassador = S-PV-4929 pg032-bk02 2004-03-23 Mr. Manis
ambassador = S-PV-4929 pg032-bk04 2004-03-23 Mr. Manis
ambassador = S-PV-4945 pg024-bk02 2004-04-19 Mr. Manis
ambassador = A-59-PV.52 pg004-bk04 2004-11-11 Mr. Manis
ambassador = A-59-PV.61 pg018-bk01 2004-11-29 Mr. Manis
ambassador = A-59-PV.116 pg006-bk02 2005-08-24 Mr. Manis
ambassador = A-60-PV.72 pg016-bk01 2006-03-15 Mr. Manis
ambassador = S-PV-5434 pg019-bk02 2006-05-09 Mr. Manis
ambassador = S-PV-5459 pg005-bk02 2006-06-14 Mr. Manis
ambassador = S-PV-5478 pg005-bk01 2006-06-29 Mr. Manis
ambassador = S-PV-5230-Resu.1 pg018-bk02 2005-07-21 Mr. Mannan
ambassador = A-51-PV.38 pg003-bk03 1996-10-17 Mr. Meniang
ambassador = A-61-PV.6 pg043-bk02 2006-09-15 Mr. Mohamad
ambassador = A-61-PV.23 pg021-bk01 2006-09-27 Mr. Mohamad
ambassador = S-PV-5556-Resu.1 pg025-bk02 2006-10-26 Mr. Mohamad
ambassador = A-61-PV.87 pg023-bk02 2007-02-06 Mr. Mohamad
ambassador = S-PV-5632-Resu.1 pg024-bk02 2007-02-20 Mr. Mohamad
ambassador = A-61-PV.88 pg010-bk02 2007-03-15 Mr. Mohamad
ambassador = S-PV-5649 pg028-bk02 2007-03-28 Mr. Mohamad
ambassador = S-PV-5663-Resu.1 pg011-bk02 2007-04-17 Mr. Mohamad
ambassador = A-49-PV.63 pg021-bk01 1994-11-22 Mr. Mohamed
ambassador = A-49-PV.92 pg009-bk08 1994-12-19 Mr. Mohamed
ambassador = A-50-PV.44 pg018-bk04 1995-10-27 Mr. Mohamed
ambassador = A-50-PV.97 pg001-bk04 1995-12-21 Mr. Mohamed
ambassador = A-50-PV.99 pg001-bk04 1995-12-22 Mr. Mohamed
ambassador = A-50-PV.99 pg003-bk10 1995-12-22 Mr. Mohamed
ambassador = A-53-PV.83 pg012-bk14 1998-12-08 Mr. Mohamed
ambassador = A-53-PV.83 pg014-bk01 1998-12-08 Mr. Mohamed
ambassador = A-54-PV.54 pg016-bk01 1999-11-17 Mr. Mohamed
ambassador = A-54-PV.60 pg004-bk01 1999-11-22 Mr. Mohamed
ambassador = A-55-PV.84 pg009-bk03 2000-12-12 Mr. Mohamed
ambassador = A-61-PV.43 pg004-bk01 2006-10-30 Mr. Musa Daffalla
ambassador = A-50-PV.29 pg024-bk02 1995-10-11 Mr. Mustafa
ambassador = A-50-PV.29 pg035-bk02 1995-10-11 Mr. Mustafa
ambassador = A-50-PV.49 pg004-bk03 1995-11-02 Mr. Mustafa
ambassador = A-50-PV.98 pg001-bk04 1995-12-22 Mr. Mustafa
ambassador = A-50-PV.98 pg004-bk04 1995-12-22 Mr. Mustafa
ambassador = A-57-PV.46 pg009-bk01 2002-11-11 Mr. Mustafa
ambassador = A-57-PV.51 pg001-bk03 2002-11-15 Mr. Mustafa
ambassador = A-57-PV.75 pg025-bk04 2002-12-16 Mr. Mustafa
ambassador = A-58-PV.35 pg004-bk01 2003-10-16 Mr. Mustafa
ambassador = A-49-PV.93 pg011-bk04 1994-12-20 Mr. Osman
ambassador = A-49-PV.93 pg012-bk02 1994-12-20 Mr. Osman
ambassador = A-51-PV.86 pg020-bk01 1996-12-16 Mr. Osman
ambassador = A-51-PV.98 pg006-bk03 1997-05-20 Mr. Osman
ambassador = A-52-PV.28 pg019-bk01 1997-10-07 Mr. Osman
ambassador = A-52-PV.49 pg023-bk03 1997-11-12 Mr. Osman
ambassador = A-52-PV.64 pg016-bk01 1997-12-05 Mr. Osman
ambassador = A-54-PV.99 pg008-bk01 2000-08-11 Mr. Osman
ambassador = A-56-PV.54 pg024-bk02 2001-11-15 Mr. Osman
ambassador = A-56-PV.54 pg025-bk02 2001-11-15 Mr. Osman
ambassador = A-58-PV.55 pg016-bk03 2003-11-04 Mr. Osman
ambassador = A-58-PV.46 pg020-bk01 2003-10-28 Mr. Rahmatalla
ambassador = A-52-PV.70 pg020-bk01 1997-12-12 Mr. Rahmtalla
ambassador = A-52-PV.73 pg014-bk01 1997-12-16 Mr. Rahmtalla
ambassador = A-54-PV.84 pg007-bk01 1999-12-17 Mr. Rahmtalla
ambassador = S-PV-4176-Resu.1 pg036-bk02 2000-07-26 Mr. Rahmtalla
ambassador = A-54-PV.100 pg011-bk02 2000-09-05 Mr. Rahmtalla
ambassador = A-55-PV.88 pg005-bk01 2000-12-21 Mr. Rahmtalla
ambassador = A-56-PV.31 pg001-bk06 2001-10-26 Mr. Rahmtalla
ambassador = A-56-PV.32 pg002-bk02 2001-10-30 Mr. Rahmtalla
ambassador = A-58-PV.58 pg010-bk01 2003-11-06 Mr. Saeed
ambassador = A-61-PV.51 pg019-bk01 2006-11-10 Mr. Saeed
ambassador = A-61-PV.48 pg018-bk01 2006-11-03 Mr. Salih
ambassador = A-61-PV.60 pg020-bk01 2006-11-29 Mr. Swar-Aldahab
ambassador = A-58-PV.67 pg016-bk01 2003-12-02 Mr. Taboul
ambassador = A-50-PV.27 pg009-bk02 1995-10-10 Mr. Taha
ambassador = S-PV-3698-Resu.1 pg020-bk02 1996-09-27 Mr. Taha
ambassador = A-51-PV.24 pg015-bk02 1996-10-07 Mr. Taha
ambassador = A-52-PV.15 pg021-bk02 1997-09-29 Mr. Taha
ambassador = A-55-PV.40 pg015-bk02 2000-10-25 Mr. Taha
ambassador = A-58-PV.26 pg019-bk01 2003-10-07 Mr. Taha
ambassador = A-58-PV.31 pg023-bk01 2003-10-14 Mr. Taha
ambassador = S-PV-4841 pg046-bk01 2003-10-14 Mr. Taha
ambassador = A-58-PV.38 pg022-bk01 2003-10-21 Mr. Taha
ambassador = S-PV-5080 pg005-bk02 2004-11-18 Mr. Taha
